mode,slice,value,n,hit1,hit3,hit5,avg_input_tokens,avg_latency_ms,seed
memory_md,lag,mid,10325,0.620048426150121,0.6670217917675545,0.6924939467312349,8985.02769975787,0.12,0
memory_md,lag,long,7660,0.5275456919060052,0.5484334203655352,0.5640992167101828,9028.133289817233,0.12,0
memory_md,lag,short,12015,0.8855597170203912,0.925759467332501,0.9389929255097794,8991.477153558053,0.12,0
lancedb_full,lag,mid,10325,0.33220338983050846,0.46576271186440676,0.5263922518159806,8978.537917675545,0.24,0
lancedb_full,lag,long,7660,0.095822454308094,0.16240208877284595,0.20117493472584858,9020.249216710183,0.24,0
lancedb_full,lag,short,12015,0.917852684144819,0.9650436953807741,0.976113191843529,8986.010736579276,0.24,0
memq_hybrid,lag,mid,10325,0.33220338983050846,0.46576271186440676,0.5263922518159806,120,0.21,0
memq_hybrid,lag,long,7660,0.095822454308094,0.16240208877284595,0.20117493472584858,120,0.21,0
memq_hybrid,lag,short,12015,0.917852684144819,0.9650436953807741,0.976113191843529,120,0.21,0
memory_md,lag,mid,10486,0.6054739652870494,0.6573526606904444,0.6805264161739463,8999.471581155827,0.12,1
memory_md,lag,long,7327,0.531322505800464,0.5547973249624676,0.5695373276920978,8983.953186843182,0.12,1
memory_md,lag,short,12187,0.8802002133420859,0.9229506851563141,0.9378025765159597,9022.555099696398,0.12,1
lancedb_full,lag,mid,10486,0.32977303070761016,0.46461949265687585,0.5267022696929239,9000.989032996376,0.24,1
lancedb_full,lag,long,7327,0.09376279514125836,0.16664391974887402,0.20267503753241436,8982.09635594377,0.24,1
lancedb_full,lag,short,12187,0.9176991876589808,0.964470337244605,0.976122097316813,9021.466562730779,0.24,1
memq_hybrid,lag,mid,10486,0.32977303070761016,0.46461949265687585,0.5267022696929239,120,0.21,1
memq_hybrid,lag,long,7327,0.09376279514125836,0.16664391974887402,0.20267503753241436,120,0.21,1
memq_hybrid,lag,short,12187,0.9176991876589808,0.964470337244605,0.976122097316813,120,0.21,1
memory_md,lag,long,7421,0.5333513003638324,0.5577415442662714,0.5713515698692898,8968.142972645195,0.12,2
memory_md,lag,mid,10486,0.6068090787716955,0.6590692351707038,0.6826244516498188,8983.871829105474,0.12,2
memory_md,lag,short,12093,0.8763747622591582,0.9197883072852063,0.9325229471595138,8997.233275448607,0.12,2
lancedb_full,lag,long,7421,0.08448996092170867,0.15442662713919958,0.19566096213448322,8974.7074518259,0.24,2
lancedb_full,lag,mid,10486,0.32700743848941444,0.46385657066564945,0.5274651916841503,8975.304596604998,0.24,2
lancedb_full,lag,short,12093,0.9119325229471595,0.9612999255767799,0.973042255850492,8996.86479781692,0.24,2
memq_hybrid,lag,long,7421,0.08448996092170867,0.15442662713919958,0.19566096213448322,120,0.21,2
memq_hybrid,lag,mid,10486,0.32700743848941444,0.46385657066564945,0.5274651916841503,120,0.21,2
memq_hybrid,lag,short,12093,0.9119325229471595,0.9612999255767799,0.973042255850492,120,0.21,2
memory_md,lag,long,7611,0.5344895545920378,0.5590592563395086,0.5708842464853502,9042.002627775588,0.12,3
memory_md,lag,mid,10517,0.6185223923172007,0.6675858134448988,0.6936388704003043,9021.78919844062,0.12,3
memory_md,lag,short,11872,0.8751684636118598,0.9186320754716981,0.9337095687331537,9018.427897574124,0.12,3
lancedb_full,lag,long,7611,0.08513992905005913,0.1534620943371436,0.1955065037445802,9033.170805413218,0.24,3
lancedb_full,lag,mid,10517,0.3249976228962632,0.4635352286773795,0.5290482076637825,9019.543786250832,0.24,3
lancedb_full,lag,short,11872,0.9156839622641509,0.9664757412398922,0.9783524258760108,9018.039336253369,0.24,3
memq_hybrid,lag,long,7611,0.08513992905005913,0.1534620943371436,0.1955065037445802,120,0.21,3
memq_hybrid,lag,mid,10517,0.3249976228962632,0.4635352286773795,0.5290482076637825,120,0.21,3
memq_hybrid,lag,short,11872,0.9156839622641509,0.9664757412398922,0.9783524258760108,120,0.21,3
