mode,slice,value,n,hit1,hit3,hit5,avg_input_tokens,avg_latency_ms,seed
memory_md,overall,all,30000,0.7027666666666667,0.7403666666666666,0.7584333333333333,8998.617,0.12,0
lancedb_full,overall,all,30000,0.5064,0.5882666666666667,0.6234666666666666,8992.181066666666,0.24,0
memq_hybrid,overall,all,30000,0.5064,0.5882666666666667,0.6234666666666666,120,0.21,0
memory_md,category,user_rules,4974,1,1,1,8996.036992360274,0.12,0
memory_md,category,soul_principles,4990,1,1,1,9021.8498997996,0.12,0
memory_md,category,persona,5104,1,1,1,9027.720611285267,0.12,0
memory_md,category,daily_tasks,5049,0.5123786888492771,0.5884333531392355,0.6292335115864528,8959.097841156665,0.12,0
memory_md,category,coding_memory,4973,0.19545545948119847,0.264025738990549,0.2961994771767545,9031.988739191635,0.12,0
memory_md,category,daily_chat,4910,0.50020366598778,0.5822810590631364,0.6181262729124236,8954.20366598778,0.12,0
lancedb_full,category,user_rules,4974,0.5140731805388018,0.5975070365902694,0.6302774427020507,8982.918978689184,0.24,0
lancedb_full,category,soul_principles,4990,0.49899799599198397,0.5759519038076152,0.6132264529058116,9009.755711422846,0.24,0
lancedb_full,category,persona,5104,0.5074451410658307,0.5918887147335423,0.6306818181818182,9030.219239811911,0.24,0
lancedb_full,category,daily_tasks,5049,0.5102000396118043,0.5902158843335313,0.6262626262626263,8948.098831451773,0.24,0
lancedb_full,category,coding_memory,4973,0.5081439774783832,0.5903880957168711,0.622159662175749,9030.087472350693,0.24,0
lancedb_full,category,daily_chat,4910,0.49938900203665987,0.5835030549898167,0.6179226069246436,8951.099185336048,0.24,0
memq_hybrid,category,user_rules,4974,0.5140731805388018,0.5975070365902694,0.6302774427020507,120,0.21,0
memq_hybrid,category,soul_principles,4990,0.49899799599198397,0.5759519038076152,0.6132264529058116,120,0.21,0
memq_hybrid,category,persona,5104,0.5074451410658307,0.5918887147335423,0.6306818181818182,120,0.21,0
memq_hybrid,category,daily_tasks,5049,0.5102000396118043,0.5902158843335313,0.6262626262626263,120,0.21,0
memq_hybrid,category,coding_memory,4973,0.5081439774783832,0.5903880957168711,0.622159662175749,120,0.21,0
memq_hybrid,category,daily_chat,4910,0.49938900203665987,0.5835030549898167,0.6179226069246436,120,0.21,0
memory_md,overall,all,30000,0.6989666666666666,0.7402,0.7579333333333333,9005.058766666667,0.12,1
lancedb_full,overall,all,30000,0.5109666666666667,0.5949,0.6301333333333333,9004.693466666668,0.24,1
memq_hybrid,overall,all,30000,0.5109666666666667,0.5949,0.6301333333333333,120,0.21,1
memory_md,category,daily_tasks,5096,0.5164835164835165,0.6047880690737834,0.6414835164835165,9066.569858712715,0.12,1
memory_md,category,coding_memory,5064,0.18325434439178515,0.25552922590837285,0.2871248025276461,8966.587875197472,0.12,1
memory_md,category,persona,5020,1,1,1,8987.004780876494,0.12,1
memory_md,category,daily_chat,4960,0.5098790322580645,0.594758064516129,0.6320564516129032,8989.66068548387,0.12,1
memory_md,category,soul_principles,4933,1,1,1,9005.656395702412,0.12,1
memory_md,category,user_rules,4927,1,1,1,9014.276030038563,0.12,1
lancedb_full,category,daily_tasks,5096,0.5176609105180534,0.6024332810047096,0.6434458398744113,9064.720957613814,0.24,1
lancedb_full,category,coding_memory,5064,0.4940758293838863,0.5809636650868878,0.613349131121643,8966.978672985782,0.24,1
lancedb_full,category,persona,5020,0.5161354581673306,0.599800796812749,0.6328685258964143,8988.144223107569,0.24,1
lancedb_full,category,daily_chat,4960,0.5106854838709678,0.5943548387096774,0.6284274193548387,8989.666532258065,0.24,1
lancedb_full,category,soul_principles,4933,0.5096290289884452,0.5929454692884655,0.6288262720454084,9013.294546928846,0.24,1
lancedb_full,category,user_rules,4927,0.5177592855693119,0.5989445910290238,0.6338542723766998,9004.748122589812,0.24,1
memq_hybrid,category,daily_tasks,5096,0.5176609105180534,0.6024332810047096,0.6434458398744113,120,0.21,1
memq_hybrid,category,coding_memory,5064,0.4940758293838863,0.5809636650868878,0.613349131121643,120,0.21,1
memq_hybrid,category,persona,5020,0.5161354581673306,0.599800796812749,0.6328685258964143,120,0.21,1
memq_hybrid,category,daily_chat,4960,0.5106854838709678,0.5943548387096774,0.6284274193548387,120,0.21,1
memq_hybrid,category,soul_principles,4933,0.5096290289884452,0.5929454692884655,0.6288262720454084,120,0.21,1
memq_hybrid,category,user_rules,4927,0.5177592855693119,0.5989445910290238,0.6338542723766998,120,0.21,1
memory_md,overall,all,30000,0.6973,0.7391,0.7558333333333334,8985.367033333334,0.12,2
lancedb_full,overall,all,30000,0.5028,0.5878333333333333,0.625,8983.8478,0.24,2
memq_hybrid,overall,all,30000,0.5028,0.5878333333333333,0.625,120,0.21,2
memory_md,category,coding_memory,5015,0.18584247258225323,0.26161515453639084,0.2901296111665005,8985.864207377866,0.12,2
memory_md,category,daily_chat,4944,0.49797734627831713,0.587378640776699,0.6227750809061489,8999.760720064725,0.12,2
memory_md,category,user_rules,5054,1,1,1,9009.499406410763,0.12,2
memory_md,category,soul_principles,4972,1,1,1,8967.021721641191,0.12,2
memory_md,category,daily_tasks,5030,0.49980119284294233,0.5856858846918489,0.6222664015904572,8970.092842942346,0.12,2
memory_md,category,persona,4985,1,1,1,8979.834704112336,0.12,2
lancedb_full,category,coding_memory,5015,0.5048853439680957,0.5880358923230309,0.6233300099700897,8975.580059820539,0.24,2
lancedb_full,category,daily_chat,4944,0.4997977346278317,0.5859627831715211,0.6227750809061489,8995.351132686084,0.24,2
lancedb_full,category,user_rules,5054,0.49624060150375937,0.5844875346260388,0.6226751088246933,8993.719034428175,0.24,2
lancedb_full,category,soul_principles,4972,0.5104585679806919,0.5919147224456959,0.6287208366854384,8987.084473049075,0.24,2
lancedb_full,category,daily_tasks,5030,0.4992047713717694,0.5831013916500994,0.6228628230616302,8956.071968190854,0.24,2
lancedb_full,category,persona,4985,0.5063189568706118,0.59358074222668,0.6296890672016048,8995.547041123371,0.24,2
memq_hybrid,category,coding_memory,5015,0.5048853439680957,0.5880358923230309,0.6233300099700897,120,0.21,2
memq_hybrid,category,daily_chat,4944,0.4997977346278317,0.5859627831715211,0.6227750809061489,120,0.21,2
memq_hybrid,category,user_rules,5054,0.49624060150375937,0.5844875346260388,0.6226751088246933,120,0.21,2
memq_hybrid,category,soul_principles,4972,0.5104585679806919,0.5919147224456959,0.6287208366854384,120,0.21,2
memq_hybrid,category,daily_tasks,5030,0.4992047713717694,0.5831013916500994,0.6228628230616302,120,0.21,2
memq_hybrid,category,persona,4985,0.5063189568706118,0.59358074222668,0.6296890672016048,120,0.21,2
memory_md,overall,all,30000,0.6987666666666666,0.7394,0.7575,9025.587166666666,0.12,3
lancedb_full,overall,all,30000,0.4979,0.5839,0.6222333333333333,9022.4056,0.24,3
memq_hybrid,overall,all,30000,0.4979,0.5839,0.6222333333333333,120,0.21,3
memory_md,category,persona,4953,1,1,1,8981.672319806177,0.12,3
memory_md,category,soul_principles,5074,1,1,1,9100.79917225069,0.12,3
memory_md,category,coding_memory,4967,0.1884437286088182,0.2613247433058184,0.29454399033621903,9033.57559895309,0.12,3
memory_md,category,user_rules,5034,1,1,1,8987.77651966627,0.12,3
memory_md,category,daily_tasks,5052,0.49683293745051466,0.5797703879651623,0.6215360253365004,9017.10213776722,0.12,3
memory_md,category,daily_chat,4920,0.4991869918699187,0.5882113821138212,0.6221544715447155,9031.565040650406,0.12,3
lancedb_full,category,persona,4953,0.48455481526347666,0.5776297193620028,0.6174035937815465,8975.930345245306,0.24,3
lancedb_full,category,soul_principles,5074,0.5013795821836815,0.5863224280646433,0.6288923925896729,9093.981277098936,0.24,3
lancedb_full,category,coding_memory,4967,0.5123817193476948,0.5915039259110126,0.6265351318703443,9024.194886249245,0.24,3
lancedb_full,category,user_rules,5034,0.4954310687326182,0.5796583234008741,0.6162097735399285,8978.27115613826,0.24,3
lancedb_full,category,daily_tasks,5052,0.4970308788598575,0.5807600950118765,0.6215360253365004,9026.270585906572,0.24,3
lancedb_full,category,daily_chat,4920,0.49654471544715445,0.5876016260162602,0.6227642276422765,9034.758536585367,0.24,3
memq_hybrid,category,persona,4953,0.48455481526347666,0.5776297193620028,0.6174035937815465,120,0.21,3
