mode,slice,value,n,hit1,hit3,hit5,avg_input_tokens,avg_latency_ms
lancedb_full,category,coding_memory,20019,0.504871717544515,0.5877228947594506,0.6213434837844565,8999.210272851564,0.24
lancedb_full,category,daily_chat,19734,0.5016042339956535,0.5878555757218189,0.6229723337069769,8992.71884671639,0.24
lancedb_full,category,daily_tasks,20227,0.5060241500903712,0.5891276630000543,0.6285268286337921,8998.790585790754,0.24
lancedb_full,category,persona,20062,0.5036135928418124,0.5907249932837435,0.6276607512653459,8997.46021232204,0.24
lancedb_full,category,soul_principles,19969,0.5051162937862006,0.586783630901605,0.6249164885565828,9026.029002124926,0.24
lancedb_full,category,user_rules,19989,0.5058760340861228,0.5901493714115515,0.6257541493608431,8989.914322961358,0.24
lancedb_full,overall,all,120000,0.5045166666666667,0.5887249999999999,0.6252083333333334,9000.781983333334,0.24
memory_md,category,coding_memory,20019,0.18824900126601374,0.26062371568528275,0.29199947030178003,9004.504105180016,0.12
memory_md,category,daily_chat,19734,0.50181175909852,0.5881572866174464,0.6237780692440478,8993.797528046696,0.12
memory_md,category,daily_tasks,20227,0.5063740839065626,0.5896694237175075,0.6286298637492318,9003.215670144737,0.12
memory_md,category,persona,20062,1.0,1.0,1.0,8994.058104020069,0.12
memory_md,category,soul_principles,19969,1.0,1.0,1.0,9023.831797348474,0.12
memory_md,category,user_rules,19989,1.0,1.0,1.0,9001.897237118967,0.12
memory_md,overall,all,120000,0.69945,0.7397666666666667,0.757425,9003.657491666667,0.12
memq_hybrid,category,coding_memory,20019,0.504871717544515,0.5877228947594506,0.6213434837844565,120.0,0.21
memq_hybrid,category,daily_chat,19734,0.5016042339956535,0.5878555757218189,0.6229723337069769,120.0,0.21
memq_hybrid,category,daily_tasks,20227,0.5060241500903712,0.5891276630000543,0.6285268286337921,120.0,0.21
memq_hybrid,category,persona,20062,0.5036135928418124,0.5907249932837435,0.6276607512653459,120.0,0.21
memq_hybrid,category,soul_principles,19969,0.5051162937862006,0.586783630901605,0.6249164885565828,120.0,0.21
memq_hybrid,category,user_rules,19989,0.5058760340861228,0.5901493714115515,0.6257541493608431,120.0,0.21
memq_hybrid,overall,all,120000,0.5045166666666667,0.5887249999999999,0.6252083333333334,120.0,0.21
