model,turns,baseline_input_cost_usd,hybrid_input_cost_usd,saved_usd,saved_pct
gpt-5.3-codex*(gpt-5-codex pricing proxy),10000,118.32,55.73,62.59,52.9
gpt-5.3-codex*(gpt-5-codex pricing proxy),100000,1183.18,557.26,625.92,52.9
gpt-5.3-codex*(gpt-5-codex pricing proxy),1000000,11831.81,5572.64,6259.17,52.9
gpt-5.2,10000,165.65,78.02,87.63,52.9
gpt-5.2,100000,1656.45,780.17,876.28,52.9
gpt-5.2,1000000,16564.53,7801.69,8762.83,52.9
claude opus 4.6,10000,473.27,222.91,250.37,52.9
claude opus 4.6,100000,4732.72,2229.06,2503.67,52.9
claude opus 4.6,1000000,47327.22,22290.56,25036.67,52.9
claude sonnet 4.6,10000,283.96,133.74,150.22,52.9
claude sonnet 4.6,100000,2839.63,1337.43,1502.2,52.9
claude sonnet 4.6,1000000,28396.33,13374.33,15022.0,52.9
