mode,turns,avg_input_tokens,p95_input_tokens,avg_latency_ms,p95_latency_ms,deep_call_rate,surface_hit_rate,hit_at_1,hit_at_3,hit_at_5,context_efficiency,seed
memory_md,4000,9911.70625,10543,0.19100882788188756,0.3410410135984421,0.0,0.0,0.463,0.463,0.46325,0.046737664365305416,0
lancedb,4000,9390.39225,10473,0.3477522657485679,0.46116719022393227,1.0,0.0,0.7875,0.84625,0.8735,0.09302060837767452,0
memq_surface,4000,0,0,0.0001395411090925336,0.00016670674085617065,1.0,0.0,0.0,0.0,0.0,0.0,0
memq_deep,4000,120,120,0.34720865881536156,0.46629225835204124,1.0,0.0,0.78375,0.8485,0.8715,7.262500000000001,0
memq_hybrid,4000,120,120,0.3327981004258618,0.4931250587105751,0.85875,0.14125,0.78375,0.8485,0.8715,7.262500000000001,0
memory_md,4000,9102.6505,9471,0.19126342458184808,0.3321249969303608,0.0,0.0,0.44425,0.4445,0.445,0.04888685993162102,1
lancedb,4000,9378.58675,10435,0.3463786584325135,0.463749747723341,1.0,0.0,0.7825,0.84125,0.86375,0.09209809782907856,1
memq_surface,4000,0,0,0.00015111651737242937,0.0002076849341392517,1.0,0.0,0.0,0.0,0.0,0.0,1
memq_deep,4000,120,120,0.34523010393604636,0.46274997293949127,1.0,0.0,0.78325,0.8415,0.864,7.2,1
memq_hybrid,4000,120,120,0.33537800540216267,0.49620866775512695,0.859,0.141,0.78325,0.8415,0.864,7.2,1
memory_md,4000,9706.621,10591,0.19032863655593246,0.3394163213670254,0.0,0.0,0.45025,0.45075,0.4515,0.04651464191297879,2
lancedb,4000,9400.371,10470,0.3456695550121367,0.45504095032811165,1.0,0.0,0.79175,0.85025,0.87175,0.09273570160156445,2
memq_surface,4000,0,0,0.00015799119137227535,0.00020815059542655945,1.0,0.0,0.0,0.0,0.0,0.0,2
memq_deep,4000,120,120,0.3526353120105341,0.46395789831876755,1.0,0.0,0.78925,0.84875,0.87025,7.252083333333333,2
memq_hybrid,4000,120,120,0.3395813429960981,0.49904221668839455,0.85425,0.14575,0.78925,0.84875,0.87025,7.252083333333333,2
