mode,turns,avg_input_tokens,p95_input_tokens,avg_latency_ms,p95_latency_ms,deep_call_rate,surface_hit_rate,hit_at_1,hit_at_3,hit_at_5,context_efficiency,seed
memory_md,6000,9899.007333333333,10530,0.11019680082487564,0.19958382472395897,0.0,0.0,0.44266666666666665,0.444,0.44483333333333336,0.04493716575352236,0
lancedb,6000,9380.288166666667,10414,0.2294884284492582,0.29133399948477745,1.0,0.0,0.8071666666666667,0.8623333333333333,0.8833333333333333,0.09416910415101143,0
memq_surface,6000,0,0,0.0001537390829374393,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,0
memq_deep,6000,120,120,0.23124437065174183,0.2923342399299145,1.0,0.0,0.8075,0.8626666666666667,0.8833333333333333,7.361111111111111,0
memq_hybrid,6000,120,120,0.26105371412510675,0.33016735687851906,0.9956666666666667,0.004333333333333333,0.8075,0.8626666666666667,0.8833333333333333,7.361111111111111,0
memory_md,6000,9100.900333333333,9472,0.11590250550458829,0.20175008103251457,0.0,0.0,0.4553333333333333,0.4563333333333333,0.457,0.05021481208031396,1
lancedb,6000,9378.938333333334,10428,0.2310124762977163,0.29462482780218124,1.0,0.0,0.8148333333333333,0.8736666666666667,0.8935,0.09526664620711334,1
memq_surface,6000,0,0,0.0001591433926175038,0.00020815059542655945,1.0,0.0,0.0,0.0,0.0,0.0,1
memq_deep,6000,120,120,0.2310390442920228,0.2937503159046173,1.0,0.0,0.8151666666666667,0.8713333333333333,0.8921666666666667,7.434722222222223,1
memq_hybrid,6000,120,120,0.2598802078670512,0.32745813950896263,0.9965,0.0035,0.8151666666666667,0.8713333333333333,0.8921666666666667,7.434722222222223,1
memory_md,6000,9726.049666666666,10580,0.11554557612786691,0.20425021648406982,0.0,0.0,0.457,0.45816666666666667,0.45866666666666667,0.04715857746836511,2
lancedb,6000,9376.333833333334,10428,0.23191345281278095,0.29679108411073685,1.0,0.0,0.8091666666666667,0.8665,0.8855,0.09443989684454315,2
memq_surface,6000,0,0,0.0001565445369730393,0.00020815059542655945,1.0,0.0,0.0,0.0,0.0,0.0,2
memq_deep,6000,120,120,0.23240973552068075,0.29908306896686554,1.0,0.0,0.8065,0.865,0.8846666666666667,7.372222222222223,2
memq_hybrid,6000,120,120,0.2595276053374012,0.3277091309428215,0.9956666666666667,0.004333333333333333,0.8065,0.865,0.8846666666666667,7.372222222222223,2
memory_md,6000,10050.440833333334,11194,0.10943811177276075,0.18904171884059906,0.0,0.0,0.45166666666666666,0.4523333333333333,0.453,0.0450726497983629,3
lancedb,6000,9355.537666666667,10406,0.23191006559257707,0.2970420755445957,1.0,0.0,0.8141666666666667,0.8668333333333333,0.889,0.0950239346657183,3
memq_surface,6000,0,0,0.0001579904928803444,0.0002076849341392517,1.0,0.0,0.0,0.0,0.0,0.0,3
memq_deep,6000,120,120,0.23242504840406278,0.30174991115927696,1.0,0.0,0.8136666666666666,0.8653333333333333,0.8883333333333333,7.402777777777778,3
memq_hybrid,6000,120,120,0.26351344818249345,0.33504096791148186,0.9955,0.0045,0.8136666666666666,0.8653333333333333,0.8883333333333333,7.402777777777778,3
memory_md,6000,9775.717666666667,10438,0.11481482535600662,0.19675027579069138,0.0,0.0,0.465,0.4658333333333333,0.4661666666666667,0.047686183517370404,4
lancedb,6000,9412.215166666667,10471,0.23452663926097253,0.2980409190058708,1.0,0.0,0.8175,0.8726666666666667,0.8905,0.09461109677493383,4
memq_surface,6000,0,0,0.00014183856546878815,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,4
memq_deep,6000,120,120,0.24448630423285067,0.3092498518526554,1.0,0.0,0.8145,0.8713333333333333,0.8893333333333333,7.411111111111111,4
memq_hybrid,6000,120,120,0.2643356496312966,0.34291576594114304,0.9968333333333333,0.0031666666666666666,0.8145,0.8713333333333333,0.8893333333333333,7.411111111111111,4
