mode,turns,avg_input_tokens,p95_input_tokens,avg_latency_ms,p95_latency_ms,deep_call_rate,surface_hit_rate,hit_at_1,hit_at_3,hit_at_5,context_efficiency,seed
memory_md,12000,9900.584666666668,10539,0.19721588861042014,0.3447495400905609,0.0,0.0,0.4579166666666667,0.45825,0.45858333333333334,0.046318813360315354,0
lancedb,12000,9385.506,10446,0.3569870075831811,0.46745920553803444,1.0,0.0,0.79,0.84925,0.87325,0.09304239963194313,0
memq_surface,12000,0,0,0.000145008050215741,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,0
memq_deep,12000,120,120,0.3715999252162874,0.48625003546476364,1.0,0.0,0.7884166666666667,0.8495,0.8725833333333334,7.271527777777778,0
memq_hybrid,12000,120,120,0.3445290152449161,0.505249947309494,0.8545,0.1455,0.7884166666666667,0.8495,0.8725833333333334,7.271527777777778,0
memory_md,12000,9102.03775,9470,0.18036645639222115,0.31070876866579056,0.0,0.0,0.45516666666666666,0.4558333333333333,0.4564166666666667,0.050144448880874694,1
lancedb,12000,9366.379,10414,0.366238931271558,0.4838341847062111,1.0,0.0,0.788,0.8478333333333333,0.87025,0.09291210616183693,1
memq_surface,12000,0,0,0.00014795553094396988,0.0001671724021434784,1.0,0.0,0.0,0.0,0.0,0.0,1
memq_deep,12000,120,120,0.4165035030261303,0.5899998359382153,1.0,0.0,0.7880833333333334,0.8468333333333333,0.8705,7.254166666666667,1
memq_hybrid,12000,120,120,0.35474268381949514,0.5160002037882805,0.8544166666666667,0.14558333333333334,0.7880833333333334,0.8468333333333333,0.8705,7.254166666666667,1
memory_md,12000,9721.430166666667,10589,0.1962458116468042,0.3481670282781124,0.0,0.0,0.45258333333333334,0.4529166666666667,0.4535,0.04664951475503921,2
lancedb,12000,9401.443166666666,10465,0.36202288096925866,0.477583147585392,1.0,0.0,0.7880833333333334,0.8489166666666667,0.872,0.09275171742692909,2
memq_surface,12000,0,0,0.00015900741952160993,0.00020815059542655945,1.0,0.0,0.0,0.0,0.0,0.0,2
memq_deep,12000,120,120,0.3603716922613482,0.47500012442469597,1.0,0.0,0.7869166666666667,0.8463333333333334,0.8706666666666667,7.255555555555556,2
memq_hybrid,12000,120,120,0.34509024089978385,0.5033751949667931,0.85775,0.14225,0.7869166666666667,0.8463333333333334,0.8706666666666667,7.255555555555556,2
